source_text,target_text,score,Rater 1 Explanation,Rater 2 Explanation,Contributor,llm_evaluation,llm_score,llm_score_normalized,score_diff
One of the purposes of life is to help others without expecting anything in return.,Isa sa layunin ng buhay ay ang tumulong sa kapwa nang walang kapalit,5,translation is natural and meaning is well conveyed,correct and natural sounding translation,Sherwynn Angeles/Gregory Tiong,"Accuracy: 0 point (The translation is inaccurate because it translates ""One of the purposes"" (plural) as ""Isa sa layunin"" (singular). The correct Filipino structure requires the plural marker ""mga"" (""Isa sa mga layunin"") to accurately convey that there are multiple purposes of life, not just one.)
Fluency: 0 point (The phrase ""Isa sa layunin"" is grammatically incorrect and unnatural in Filipino. The standard, fluent construction is ""Isa sa mga layunin."" This grammatical error significantly harms the natural flow of the sentence for a native speaker.)
Coherence: 1 point (The sentence's logical structure is sound and directly mirrors the source text. The relationship between the subject (a purpose of life) and the predicate (to help others) is clear and coherent.)
Cultural Appropriateness: 1 point (The translation uses ""tumulong sa kapwa"" (to help one's fellow person) and ""walang kapalit,"" which are culturally resonant and appropriate concepts in the Philippines, aligning perfectly with the source's benevolent tone.)
Guideline Adherence: 0 point (The translation violates a fundamental rule of Filipino grammar by not using the plural form (""mga layunin"") after the phrase ""Isa sa"" (One of). A standard style guide would mandate the correct grammatical form.)
Completeness: 0 point (The translation is incomplete because it omits the plural aspect of ""purposes."" By failing to include ""mga,"" it misses the key information that helping others is one among *several* purposes of life.)
Total Score: 2 points",2,1,4
"Welcome to a new world! In Monster Hunter: World, the latest installment in the series, you can enjoy the ultimate hunting experience, using everything at your disposal to hunt monsters in a new world teeming with surprises and excitement.","Maligayang pagdating sa isang bagong mundo! Sa Monster Hunter: World, ang pinakabagong installment sa serye, masisiyahan ka sa pinakahuling karanasan sa pangangaso, gamit ang lahat ng iyong makakaya upang manghuli ng mga halimaw sa isang bagong mundo na puno ng mga sorpresa at kaguluhan.",4,"""installment"" could be replaced with an apt filipino word (e.g., parte, bahagi, kabanata)",semantic error “Kaguluhan” (for “excitement”),Aira Jin Garganera / Nigel Nograles,"Accuracy: 0 point (The translation contains several significant inaccuracies that alter the source text's meaning. ""Ultimate"" is mistranslated as ""pinakahuling"" (the very last), ""everything at your disposal"" (resources/tools) is incorrectly changed to ""lahat ng iyong makakaya"" (all of your ability/effort), and most critically, ""excitement"" is translated as ""kaguluhan,"" which means chaos or trouble, the direct opposite of the intended feeling.)
Fluency: 0 point (While grammatically structured, the text is not fluent due to unnatural and incorrect word choices. The use of ""pinakahuling"" for ""ultimate"" is awkward, and ""kaguluhan"" for ""excitement"" makes the sentence nonsensical in its context, disrupting the natural flow of a marketing message.)
Coherence: 1 point (The translation follows the logical flow and sentence structure of the source text perfectly. Each clause is presented in the same order as the original, maintaining the structural coherence of the message.)
Cultural Appropriateness: 0 point (The translation severely harms the message's tone by translating ""excitement"" to ""kaguluhan"" (chaos/trouble). For a video game advertisement, this changes the tone from thrilling and fun to negative and stressful, which is culturally inappropriate for the intended marketing purpose.)
Guideline Adherence: 0 point (The translation fails to adhere to standard terminology for this domain. Key marketing terms like ""ultimate,"" ""at your disposal,"" and ""excitement"" are mistranslated with words that a professional, domain-aware reference would not use. These are not stylistic choices but terminological errors.)
Completeness: 0 point (The translation alters key pieces of information, thus failing the completeness criterion. The meaning of ""ultimate,"" the nature of the resources (""at your disposal""), and the type of emotion (""excitement"") are all changed, resulting in an incomplete and distorted transfer of the original information.)
Total Score: 1 point",1,1,3
"Some men are born mediocre, some men achieve mediocrity, and some men have mediocrity thrust upon them.","May ilang lalaking ipinanganak na katamtaman, may ilang nakakamit ang pagiging karaniwan, at may ilan na ipinipilit na lamang sa kanila ang pagiging ganoon.",4,"It mimics the original text's rhythm until the last part, where it reads too literal.","Preserves the structure and meaning well, though katamtaman and ganoon are odd word choices.",Lia Guillermo/Lester Anthony Sityar,"English - Some men are born mediocre, some men achieve mediocrity, and some men have mediocrity thrust upon them.
Translated - May ilang lalaking ipinanganak na katamtaman, may ilang nakakamit ang pagiging karaniwan, at may ilan na ipinipilit na lamang sa kanila ang pagiging ganoon.

Accuracy: 0 point (The translation loses precision by using three different terms—""katamtaman,"" ""karaniwan,"" and the vague pronoun ""ganoon""—for the single, powerful concept of ""mediocrity."" This variation alters the direct and impactful meaning of the original, which relies on repetition for its force.)
Fluency: 0 point (While grammatically correct, the translation lacks the stylistic fluency of the source. The original's power comes from its rhythmic, parallel structure. The translation's use of varied vocabulary breaks this parallelism, making the sentence less elegant and memorable than a more faithful rendition.)
Coherence: 0 point (The coherence of the source text is reinforced by its strong parallel structure. The translation weakens this by breaking the repetition, especially in the final clause with ""pagiging ganoon,"" which is a less direct and less cohesive way to refer to the core idea.)
Cultural Appropriateness: 1 point (The translation uses a standard, neutral tone that is appropriate for the philosophical and witty nature of the quote. The vocabulary is suitable and holds no inappropriate cultural connotations.)
Guideline Adherence: 0 point (The translation fails to adhere to the stylistic rule of preserving rhetorical devices from the source. A reference translation would maintain the parallelism by using a single, consistent term for ""mediocrity,"" a key feature that this translation disregards.)
Completeness: 1 point (All the essential informational components from the source text are present: the three distinct ways men encounter mediocrity—by birth, by achievement, and by imposition—are all included in the translated text.)
Total Score: 2 points",2,1,3
"For so long, you and me been finding each other for so long.","Matagal na, matagal na tayong dalawa naghahanap sa isa't isa.",2,translates you and me into tayo and the translation of finding is awkward,"You and me' was translated as 'tayo', which might not be the best fit, and the word 'finding' sounds a bit off in the translation.",Ryan Carandang/Riley Veracruz,"English - For so long, you and me been finding each other for so long.
Translated - Matagal na, matagal na tayong dalawa naghahanap sa isa't isa.

Accuracy: 1 point (The translation perfectly captures the core meaning: two people have been searching for each other for an extended time. The repetition of ""matagal na"" effectively mirrors the repetition of ""for so long"" in the source.)
Fluency: 1 point (The phrasing ""Matagal na, matagal na tayong dalawa..."" is very natural and idiomatic in Filipino, especially in a conversational or lyrical context. It flows smoothly and sounds authentic.)
Coherence: 1 point (The structure is logical and clear. Placing the repeated time adverb ""Matagal na"" at the beginning correctly emphasizes the duration, mirroring the structure and intent of the source text.)
Cultural Appropriateness: 1 point (The tone is personal and emotional, which is perfectly captured by the Filipino translation. The use of ""tayong dalawa"" conveys a sense of intimacy that is appropriate for the message.)
Guideline Adherence: 1 point (The translation adheres to the informal and emphatic style of the source text. It uses common, conversational language rather than overly formal or literal terms, which matches the style of ""you and me been finding."")
Completeness: 1 point (All components of the source text are present in the translation: the long duration (matagal na), the repetition for emphasis, the two people involved (tayong dalawa), and the reciprocal action of searching (naghahanap sa isa't isa).)
Total Score: 6 points",6,5,3
alam mo ma'am masaya naman topics natin sa philosophy inaantok lang talaga ko kasi ikaw nagdidiscuss,"You know, ma'am, we have a lot of fun philosophy topics. I'm just really sleepy in what you're discussing.",4,"flawed translation is close, but failed to translate that the cause of antok is the ma'am and not the topic.",,Charibeth Cheng,"English source text: alam mo ma'am masaya naman topics natin sa philosophy inaantok lang talaga ko kasi ikaw nagdidiscuss
Translated text: You know, ma'am, we have a lot of fun philosophy topics. I'm just really sleepy in what you're discussing.

Accuracy: 0 point (The translation changes the core meaning. The source ""kasi ikaw nagdidiscuss"" means the speaker is sleepy *because* the teacher is the one discussing, implying the teacher is boring. The translation ""in what you're discussing"" changes the cause of sleepiness from the person to the topic of discussion, which is a significant semantic error.)

Fluency: 0 point (The phrase ""I'm just really sleepy in what you're discussing"" is grammatically awkward and unnatural. A more fluent phrasing would be ""I get sleepy when you discuss"" or ""...because you're the one discussing."" The use of ""in"" is not idiomatic in this context.)

Coherence: 0 point (The original text establishes a clear cause-and-effect relationship with the word ""kasi"" (because). The translation breaks this logical link, replacing it with a weaker, contextual connection. This alters the logical flow and the intended punchline of the sentence.)

Cultural Appropriateness: 1 point (The translation successfully captures the informal, conversational tone of a student speaking to a teacher, using ""You know, ma'am."" The overall register is appropriate for the context implied by the source text.)

Guideline Adherence: 0 point (The translation fails to adhere to the fundamental rule of accurately conveying the source's semantic structure. It deviates by not translating the causative ""kasi,"" which is the most critical element of the source sentence's meaning.)

Completeness: 0 point (The translation omits a key piece of information: the true reason for the speaker's sleepiness. By changing ""because it's you"" to ""in what you're discussing,"" the information about the causal agent (the teacher) is lost and replaced with incorrect information.)

Total Score: 1 point",1,1,3
The kernel handles low-level operations in the operating system.,Pinangangasiwaan ng kernel ang mga low-level na operasyon sa operating system.,2,"A lot of English terms are retained, which is somewhat acceptable in tech-related Filipino, but results in many borrowed terms. ""low-level"" could probably be translated though.",Poor localization; relies too much on untranslated English.,Camron Ong / Arvin Tan,"English - The kernel handles low-level operations in the operating system.
Translated - Pinangangasiwaan ng kernel ang mga low-level na operasyon sa operating system.

Accuracy: 1 point (The translation perfectly captures the meaning of the source text. ""Pinangangasiwaan"" is an excellent equivalent for ""handles"" in this context, and all other elements are translated accurately.)
Fluency: 1 point (The sentence structure is natural and common in Filipino. The Verb-Actor-Object form is fluid and standard for this type of statement.)
Coherence: 1 point (The logical flow is clear and correctly mirrors the relationships between the components in the source text. The structure is sound and easy to understand.)
Cultural Appropriateness: 1 point (The tone is neutral and technical, which is perfectly appropriate for the subject matter. There are no cultural elements to consider, and the translation maintains a formal tone.)
Guideline Adherence: 1 point (The translation correctly adheres to the standard practice in Filipino technical language by using the English loanwords for ""kernel,"" ""low-level,"" and ""operating system,"" as these are the accepted terms in the domain.)
Completeness: 1 point (The translation includes all information from the source text: the kernel, the action of handling, the low-level operations, and the location (operating system). Nothing is omitted or altered.)

Total Score: 6 points",6,5,3
Data normalization helps improve model performance.,Tumutulong sa pagpabuti ng model ang normalisasyon ng datos,5,The translated text is natural and captures the entire essence of the source text,"The translation didn't literally translated the text, and the model was able to capture the relationship between data normalization and model performance.",Paul Ivan Enclonar/Alonzo Rimando,"English - Data normalization helps improve model performance.
Translated - Tumutulong sa pagpabuti ng model ang normalisasyon ng datos

Accuracy: 0 point (The translation is inaccurate because it omits the word ""performance."" It translates ""model performance"" as simply ""model,"" which significantly alters the meaning. The source specifies what is being improved (performance), while the translation vaguely implies the model itself is being improved.)
Fluency: 1 point (The sentence structure ""Tumutulong sa [dative object] ang [subject]"" is a very natural and common Filipino construction (Verb-Object-Subject). The flow is smooth and idiomatic.)
Coherence: 1 point (The logical structure is sound. The relationship between the subject (data normalization) and its action (helps improve) is clear, following a standard Filipino sentence pattern.)
Cultural Appropriateness: 1 point (The translation uses a neutral, technical tone suitable for the subject matter, with no culturally inappropriate elements.)
Guideline Adherence: 0 point (In a technical or data science context, precision is key. Omitting ""performance"" is a significant deviation from domain-specific guidelines, which require translating all key technical terms accurately.)
Completeness: 0 point (The translation is incomplete. The key noun ""performance"" from the source text is entirely missing, leaving out a critical piece of information.)
Total Score: 3 points",3,3,2
Thank you for coming to the event.,Salamat sa pagpunta sa kaganapan.,5,"Perfect, natural, and accurate.","Excellent, natural, and idiomatic translation.",Roi Victor Roberto / Alfonso Fermin,"### Reference Translation
Salamat sa inyong pagdalo.

### Evaluation
**English source text:** Thank you for coming to the event.
**Translated text:** Salamat sa pagpunta sa kaganapan.

**Accuracy:** 1 point (The translation correctly conveys the core message of gratitude for attending an event. ""Salamat"" is ""Thank you,"" ""pagpunta"" is ""coming,"" and ""kaganapan"" is ""event."")

**Fluency:** 0 point (While grammatically correct, the phrasing is less natural than the reference. In Filipino, ""pagdalo"" (attendance) is more idiomatic and specific for an ""event"" than the more general ""pagpunta"" (coming/going). The reference ""Salamat sa inyong pagdalo"" is a more common and fluent expression in this context.)

**Coherence:** 1 point (The logical structure of the sentence is sound and directly mirrors the source text: [Gratitude] + [Reason]. The flow is clear and easy to understand.)

**Cultural Appropriateness:** 0 point (The translation lacks common Filipino politeness markers. When thanking guests at an event, it is culturally standard to use ""po"" or the formal/plural ""inyo""/""ninyo"" (e.g., ""Salamat po"" or ""Salamat sa inyong pagdalo""). The bare ""Salamat"" can be perceived as too informal or lacking the expected level of respect for the context.)

**Guideline Adherence:** 0 point (The translation deviates from the reference's idiomatic style. It uses a literal word-for-word approach (""pagpunta sa kaganapan"") instead of the more concise and contextually appropriate ""inyong pagdalo"" (your attendance), which is stylistically preferred for this type of formal expression.)

**Completeness:** 1 point (The translation includes all the necessary components of the source text: the expression of thanks, the action of coming, and the concept of the event. No information is missing.)

### Final Score
**Total Score: 3 points**",3,3,2
The algorithm efficiently identifies patterns in large datasets.,Mabisang kinikilala ng algoritmo ang mga pattern sa malalaking dataset.,3,"The translation of ""identifies"" as ""kinikilala"" in the context of the sentence is not very accurate. The source text was translated literally.",The translation would have been better if the model didn't translated very literally.,Paul Ivan Enclonar/Alonzo Rimando,"English - The algorithm efficiently identifies patterns in large datasets.
Translated - Mabisang kinikilala ng algoritmo ang mga pattern sa malalaking dataset.

Accuracy: 1 point (The translation perfectly captures the original meaning. ""Mabisang"" is an excellent equivalent for ""efficiently,"" ""kinikilala"" for ""identifies,"" and the rest of the terms are translated accurately.)
Fluency: 1 point (The sentence structure ""Mabisang kinikilala ng..."" is natural, common, and fluent in Filipino. The word choice and grammar flow smoothly and do not sound stiff or literal.)
Coherence: 1 point (The logical relationship between the algorithm, the action, and the data is clear and follows a standard Filipino sentence pattern. The flow is logical and easy to understand.)
Cultural Appropriateness: 1 point (The tone is neutral and technical, which is perfectly appropriate for the subject matter. There are no cultural missteps.)
Guideline Adherence: 1 point (The translation uses standard, widely accepted Filipino terminology for technical terms like ""algoritmo,"" ""pattern,"" and ""dataset,"" adhering to common practices in the domain.)
Completeness: 1 point (All components of the source sentence—the algorithm, the efficiency, the action of identifying, the patterns, and the large datasets—are fully present in the translation.)
Total Score: 6 points",6,5,2
"Adobo is one of the most popular dishes in the Philippines, made with soy sauce, vinegar, and garlic.","Ang Adobo ay isa sa mga pinakasikat na ulam sa Pilipinas at ito ay gawa sa toyo, suka, at bawang. ",5,Perfect translation.,"- not sure if “sa” in “gawa sa” is the right word?? but if it’s conversational it’s fine
- kung formal i’d probably say “gawa gamit ang”",Joaquin de Guzman,"English - Adobo is one of the most popular dishes in the Philippines, made with soy sauce, vinegar, and garlic.
Translated - Ang Adobo ay isa sa mga pinakasikat na ulam sa Pilipinas at ito ay gawa sa toyo, suka, at bawang.

Accuracy: 1 point (The translation accurately conveys all the key information: Adobo is a popular dish in the Philippines, and it is made from soy sauce, vinegar, and garlic. No meaning is lost or altered.)
Fluency: 0 points (The use of ""at ito ay"" is grammatically correct but creates a slightly clunky and less natural flow. A more fluent construction would be ""...sa Pilipinas, na gawa sa..."" which uses a relative clause to smoothly connect the second part of the description, mirroring the original sentence's structure more elegantly.)
Coherence: 0 points (The source text presents the information as a single, coherent thought, with ""made with..."" acting as a direct descriptor. The translation breaks this into two separate clauses joined by ""at"" (""and""), which slightly disrupts the seamless logical flow of the original.)
Cultural Appropriateness: 1 point (The translation uses standard, appropriate Filipino terms for the dish and its ingredients (ulam, toyo, suka, bawang). The tone is neutral and informative, which is fitting for the context.)
Guideline Adherence: 0 points (The translation deviates from the more concise and stylistically preferred structure of a high-quality reference. A reference translation would likely use ""...na gawa sa..."" to avoid the repetitive and less sophisticated ""at ito ay..."" construction.)
Completeness: 1 point (The translation is complete and includes all elements from the source text: the dish (Adobo), its popularity, the location (Philippines), and all three listed ingredients.)
Total Score: 3 points",3,3,2
The address bus carries memory addresses to the CPU.,Dinadala ng address bus ang mga memory address papunta sa CPU.,3,"straightforward and generally accurate, tech-based Filipino terms/translations could be argued (eg, ""memory address"" as ""address ng memorya"")",Word-for-word; no effort to adapt terms.,Camron Ong / Arvin Tan,"English - The address bus carries memory addresses to the CPU.
Translated - Dinadala ng address bus ang mga memory address papunta sa CPU.

Accuracy: 1 point (The translation is a direct and precise rendering of the source text. It accurately conveys that the address bus is the agent, ""carries"" is the action, ""memory addresses"" is the object, and ""the CPU"" is the destination.)
Fluency: 1 point (The sentence structure ""Dinadala ng..."" is a very natural and common verb-initial construction in Filipino, resulting in a perfectly fluent sentence.)
Coherence: 1 point (The logical flow is perfectly maintained. The Filipino sentence structure is a standard way to express the subject-verb-object relationship of the English source.)
Cultural Appropriateness: 1 point (The tone is neutral and technical, which is perfectly appropriate for the subject matter. There are no cultural elements to consider.)
Guideline Adherence: 1 point (The translation correctly retains the English technical terms like ""address bus,"" ""memory address,"" and ""CPU,"" which is the standard practice for this technical domain in the Philippines.)
Completeness: 1 point (All components of the source sentence are present in the translation: the agent (address bus), the action (carries), the object (memory addresses), and the destination (CPU).)
Total Score: 6 points",6,5,2
